,event_num,complaint_num,shift,tencode,tencode_desc,tencode_suffix,tencode_suffix_desc,disposition_code,disposition_desc,block,st_name,unit_disp,sector,zone,RPA,lat,lng,map_loc,call_date,call_time
4617,PD202000358899,,,43,,PJ,,11,,300.0,WALLACE RD,,,315Y,0.0,36.077,-86.725,POINT (-86.725 36.077),05/04/2020,12:46:04 AM
4618,PD202000357527,,,71,,A,ALARM,12,,,,110B,W,121,,,,,05/03/2020,04:35:39 PM
4619,PD202000361715,,,70,,A,ALARM,12A,,,,725C,M,725K,2021.0,,,,05/04/2020,09:30:00 PM
4620,PD202000357620,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,110B,W,121,5019.0,,,,05/03/2020,04:50:56 PM
4621,PD202000357828,,,96,,,,15,,,,415B,N,617N,4309.0,,,,05/03/2020,05:27:41 PM
4622,PD202000177621,,,43,,P,PROGRESS,6,,,,3T72,S,317K,8441.0,,,,03/03/2020,09:44:45 PM
4623,PD202000361644,,,96,,,,4,,,,8F73,MT,811K,6711.0,,,,05/04/2020,08:46:07 PM
4624,PD202000358415,,,87,,P,PROGRESS,11,,,,,H,513,9004.0,,,,05/03/2020,08:15:57 PM
4625,PD202000357853,,,87,,P,PROGRESS,4,,,,533B,H,535K,8937.0,,,,05/03/2020,05:36:11 PM
4626,PD202000357498,,,87,,T,TRAFFIC/DIRECTED TRAFFIC,5,,,,125C,W,125,4803.0,,,,05/03/2020,04:28:42 PM
4627,PD202000177969,,,43,,P,PROGRESS,4,,,,611B,N,615N,5345.0,,,,03/03/2020,11:48:38 PM
4628,PD202000357018,,,92,,P,PROGRESS,15,,,,5161,E,213,1219.0,,,,05/03/2020,11:54:17 AM
4629,PD202000359173,,,43,,P,PROGRESS,4,,,,223C,E,217,1441.0,,,,05/04/2020,04:15:54 AM
4630,PD202000176981,,,43,,P,PROGRESS,4,,3800.0,BONNACREEK DR,3F74,521,521,9601.0,36.195,-86.63,POINT (-86.63 36.195),03/03/2020,06:09:01 PM
4631,PD202000358356,,,87,,T,TRAFFIC/DIRECTED TRAFFIC,11,,,,,W,117K,6123.0,,,,05/03/2020,07:50:21 PM
4632,PD202000361200,,,43,,P,PROGRESS,4,,,,328B,S,335,8903.0,,,,05/04/2020,05:38:47 PM
4633,PD202000177930,,,83,,P,PROGRESS,5,,600.0,DES MOINES DR,5F75,523,523,9509.0,,,,03/03/2020,11:35:52 PM
4634,PD202000360769,,,43,,P,PROGRESS,8,,,,530C,E,217N,1511.0,,,,05/04/2020,03:14:09 PM
4635,PD202000359544,,,87,,P,PROGRESS,4,,,,517A,H,517K,9411.0,,,,05/04/2020,07:40:48 AM
4636,PD202000357547,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,121B,W,117,6209.0,,,,05/03/2020,04:39:33 PM
4637,PD202000356888,,,43,,PJ,,4,,,,616A,N,611N,4489.0,,,,05/03/2020,10:20:28 AM
4638,PD202000177116,,,43,,P,PROGRESS,4,,600.0,BELGIUM DR,3F75,,,,,,,03/03/2020,06:56:56 PM
4639,PD202000356946,,,43,,P,PROGRESS,1C,,,,215A,E,215K,1329.0,,,,05/03/2020,11:11:47 AM
4640,PD202000175051,,,71,,A,ALARM,12,,,,521C,H,521,,,,,03/03/2020,12:56:31 AM
4641,PD202000357681,,,87,,W,WARRANT ASSISTANCE ESCORT,11,,,,,MT,823,6419.0,,,,05/03/2020,04:59:19 PM
4642,PD202000358173,,,3,,,,15,,700.0,COWAN ST,5250,,433X,0.0,36.184,-86.777,POINT (-86.777 36.184),05/03/2020,07:01:55 PM
4643,PD202000175943,,,96,,,,12,,,,815C,MT,813N,5501.0,,,,03/03/2020,09:24:34 AM
4644,PD202000359363,20200315758.0,,70,,R,REPORT,1,,,,611A,,,,,,,05/04/2020,06:13:26 AM
4645,PD202000177193,,,40,,PV,,4,,,,227B,E,227K,1999.0,,,,03/03/2020,07:28:10 PM
4646,PD202000175799,,,88,,P,PROGRESS,11,,5000.0,OLD HICKORY BLVD,,521,521,9507.0,36.194,-86.618,POINT (-86.618 36.194),03/03/2020,08:17:26 AM
4647,PD202000360147,,,87,,W,WARRANT ASSISTANCE ESCORT,11,,,,,MT,825,7021.0,,,,05/04/2020,11:27:19 AM
4648,PD202000176335,,,87,,L,,4,,,OLD HICKORY BLVD W,723A,M,723,1745.0,36.264,-86.73200000000001,POINT (-86.732 36.264),03/03/2020,12:48:21 PM
4649,PD202000357978,,,87,,P,PROGRESS,4,,500.0,HICKS RD,120C,,,,,,,05/03/2020,06:10:58 PM
4650,PD202000357571,,,87,,P,PROGRESS,4,,100.0,MYATT DR,715B,,,,,,,05/03/2020,04:44:00 PM
4651,PD202000359010,,,43,,P,PROGRESS,4,,13000.0,OLD HICKORY BLVD,332C,,327X,0.0,36.016,-86.62,POINT (-86.62 36.016),05/04/2020,02:32:05 AM
4652,PD202000177510,,,43,,P,PROGRESS,4,,600.0,E OLD HICKORY BLVD,713B,713,713,1627.0,36.263000000000005,-86.699,POINT (-86.699 36.263),03/03/2020,09:08:36 PM
4653,PD202000357573,,,71,,A,ALARM,11,,,,,S,311,,,,,05/03/2020,04:44:16 PM
4654,PD202000360937,,,43,,P,PROGRESS,4,,,,2F75,E,221,1961.0,,,,05/04/2020,04:09:47 PM
4655,PD202000175331,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,715C,M,713N,1635.0,,,,03/03/2020,03:13:02 AM
4656,PD202000358124,,,45,,P,PROGRESS,1T,,,,423B,C,423K,4015.0,,,,05/03/2020,06:48:10 PM
4657,PD202000357735,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,835B,MT,835N,8651.0,,,,05/03/2020,05:07:16 PM
4658,PD202000361352,,,40,,P,PROGRESS,5,,200.0,JACKSONIAN DR,521B,,,,,,,05/04/2020,06:33:02 PM
4659,PD202000358893,,,43,,P,PROGRESS,4,,,,211C,E,213K,1131.0,,,,05/04/2020,12:41:58 AM
4660,PD202000357371,,,70,,A,ALARM,12,,,,615B,N,615,5427.0,,,,05/03/2020,03:24:22 PM
4661,PD202000177870,,,43,,P,PROGRESS,6,,700.0,OLD HICKORY BLVD,835B,,833,8623.0,36.041,-86.78,POINT (-86.78 36.041),03/03/2020,11:13:34 PM
4662,PD202000177818,,,93,,,,3M,,,,314B,MT,825,8523.0,,,,03/03/2020,10:50:17 PM
4663,PD202000175580,,,43,,P,PROGRESS,4C,,,,210A,E,213,1217.0,,,,03/03/2020,06:39:07 AM
